atlas_id,region,region_name,site_code,location,lat_dmm,lon_dmm,lat,lon,species_codes,species,count_class,tidal_use,tidal_use_full,description
119,4,Olympic Coast-South,04.15,NE of Giants Graveyard,47 51.61,124 33.74,47.86017,-124.56233,PV,Harbor Seal,<100,LOW,Low tide,Intertidal areas northeast of Giants Graveyard during pupping season.
120,4,Olympic Coast-South,04.16,S Side Teawhit Head,47 52.26,124 36.37,47.871,-124.60617,PV,Harbor Seal,<100,LOW,Low tide,Intertidal reef areas along the south side of Teawhit Head.
121,4,Olympic Coast-South,04.17,Quillayute Needles,47 53.02,124 38.08,47.88367,-124.63467,PV,Harbor Seal,100-500,LOW,Low tide,Intertidal areas on west side of Quillayute Needles.
122,4,Olympic Coast-South,04.18,Point Grenville,47 18.09,124 16.55,47.3015,-124.27583,PV,Harbor Seal,<100,LOW,Low tide,Intertidal areas at Point Grenville. Intermittent use.
123,4,Olympic Coast-South,04.20,Kalaloch Rocks,47 36.11,124 22.71,47.60183,-124.3785,PV,Harbor Seal,<100,LOW,Low tide,Intertidal reef area at Kalaloch Rocks. Intermittent use.
124,4,Olympic Coast-South,04.21,Perkins Reef Area,47 46.79,124 29.63,47.77983,-124.49383,PV,Harbor Seal,<100,LOW,Low tide,Reef areas inshore from Perkins Reef. Intermittent use.
125,4,Olympic Coast-South,04.22,Flat Rock,47 22.68,124 20.72,47.378,-124.34533,PV,Harbor Seal,<100,LOW,Low tide,Flat Rock (USFWS ID 539). Intermittent use.
126,4,Olympic Coast-South,04.23,Willoughby Rock,47 24.64,124 21.20,47.41067,-124.35333,PV,Harbor Seal,<100,LOW,Low tide,South side of Willoughby Rock on intertidal rocks and reefs.
127,5,Olympic Coast-North,05.01,S of Cape Johnson,47 57.16,124 40.25,47.95267,-124.67083,PV,Harbor Seal,100-500,LOW,Low tide,Intertidal rocks and reefs south of Cape Johnson.
128,5,Olympic Coast-North,05.01,S of Cape Johnson,47 57.40,124 40.30,47.95667,-124.67167,PV,Harbor Seal,100-500,LOW,Low tide,Intertidal reefs around point south of Cape Johnson.
129,5,Olympic Coast-North,05.01,S of Cape Johnson,47 57.65,124 39.95,47.96083,-124.66583,PV,Harbor Seal,100-500,LOW,Low tide,Intertidal reefs in bay south of Cape Johnson (Chilean Memorial).
130,5,Olympic Coast-North,05.02,N of Cape Johnson,47 58.51,124 41.03,47.97517,-124.68383,PV,Harbor Seal,100-500,LOW,Low tide,Intertidal reef complex off Cape Johnson.
131,5,Olympic Coast-North,05.03,Sandy Island,47 59.21,124 41.24,47.98683,-124.68733,PV,Harbor Seal,100-500,LOW,Low tide,Intertidal reef complex around Sandy Island (USFWS ID 275).
